Date,7/16/2018
Spectrometer,FLMS02587
Lamp SN,F1401
Int. Time(usec),350000
Average,0
Boxcar,0
Fiber (micron),7140
,
[uJoule/count],
702.4847,2.06E-05
702.8204,2.07E-05
703.1561,2.08E-05
703.4917,2.08E-05
703.8273,2.09E-05
704.1629,2.09E-05
704.4983,2.10E-05
704.8338,2.11E-05
705.1692,2.11E-05
705.5045,2.12E-05
705.8398,2.13E-05
706.175,2.14E-05
706.5102,2.15E-05
706.8454,2.15E-05
707.1804,2.16E-05
707.5155,2.17E-05
707.8505,2.17E-05
708.1854,2.18E-05
708.5203,2.19E-05
708.8551,2.19E-05
709.1899,2.20E-05
709.5246,2.20E-05
709.8593,2.21E-05
710.1939,2.22E-05
710.5285,2.23E-05
710.8631,2.23E-05
711.1975,2.24E-05
711.532,2.25E-05
711.8663,2.26E-05
712.2007,2.26E-05
712.5349,2.27E-05
712.8692,2.28E-05
713.2034,2.29E-05
713.5375,2.29E-05
713.8716,2.30E-05
714.2056,2.30E-05
714.5396,2.31E-05
714.8735,2.32E-05
715.2074,2.32E-05
715.5412,2.33E-05
715.875,2.34E-05
716.2087,2.34E-05
716.5423,2.35E-05
716.876,2.36E-05
717.2095,2.36E-05
717.5431,2.37E-05
717.8765,2.38E-05
718.2099,2.39E-05
718.5433,2.39E-05
718.8766,2.40E-05
719.2099,2.40E-05
719.5431,2.41E-05
719.8763,2.42E-05
720.2094,2.42E-05
720.5425,2.43E-05
720.8755,2.43E-05
721.2084,2.44E-05
721.5413,2.45E-05
721.8742,2.45E-05
722.207,2.46E-05
722.5398,2.47E-05
722.8725,2.47E-05
723.2051,2.48E-05
723.5377,2.49E-05
723.8703,2.50E-05
724.2028,2.50E-05
724.5353,2.51E-05
724.8677,2.52E-05
725.2,2.52E-05
725.5323,2.53E-05
725.8646,2.54E-05
726.1968,2.54E-05
726.5289,2.55E-05
726.861,2.56E-05
727.1931,2.56E-05
727.5251,2.57E-05
727.857,2.57E-05
728.1889,2.58E-05
728.5207,2.59E-05
728.8525,2.59E-05
729.1843,2.60E-05
729.516,2.60E-05
729.8476,2.61E-05
730.1792,2.62E-05
730.5107,2.62E-05
730.8422,2.63E-05
731.1736,2.64E-05
731.505,2.64E-05
731.8363,2.65E-05
732.1676,2.65E-05
732.4989,2.66E-05
732.83,2.67E-05
733.1612,2.67E-05
733.4922,2.68E-05
733.8233,2.69E-05
734.1542,2.69E-05
734.4852,2.70E-05
734.816,2.70E-05
735.1468,2.71E-05
735.4776,2.72E-05
735.8083,2.73E-05
736.139,2.73E-05
736.4696,2.74E-05
