Wavelength (nm),Counts
867.269,2096.29
867.577,1905.17
867.886,1848.08
868.195,1880.35
868.503,1880.35
868.812,1833.19
869.12,1840.64
869.428,1748.8
869.737,1699.16
870.045,1659.44
870.353,1691.71
870.661,1629.66
870.969,1580.01
871.277,1669.37
871.585,1515.48
871.893,1550.23
872.201,1485.69
872.509,1505.55
872.817,1515.48
873.124,1488.18
873.432,1341.73
873.739,1329.32
874.047,1428.61
874.354,1448.46
874.662,1413.71
874.969,1376.48
875.276,1284.64
875.584,1364.07
875.891,1378.96
876.198,1416.2
876.505,1354.14
876.812,1237.48
877.119,1396.34
877.426,1339.25
877.733,1339.25
878.04,1346.7
878.346,1344.21
878.653,1279.68
878.96,1254.86
879.266,1289.61
879.573,1274.72
879.879,1287.13
880.185,1205.22
880.492,1306.98
880.798,1329.32
881.104,1282.16
881.411,1264.79
881.717,1287.13
882.023,1344.21
882.329,1239.97
